AccountId,ClientId,PaymentAmt,EnrollmentAmt,TaxAmt,ClearAmt,CarsAmt,FoodAmt,FLAmt,CutoffDt
3536,3536,946178.93,"",946178.93,"",943825.33,"","",2020-11-04
373,373,1249495.92,"","","",1243458.62,"",1249495.92,2020-11-01
3746,3746,951507.26,"","","",943132.66,"","",2020-11-02
377,377,866025.62,"","","",863987.92,"",866025.62,2020-11-01
377,377,"",1514398.31,"",1514398.31,"",404182.69,"",2020-11-02
3952,3952,"",1833903.20,"",1833903.20,"",1026189.84,"",2020-11-01
4025,4025,"",1610986.40,"","","",433450.60,"",2020-11-02
4052,4052,959271.40,"",959271.40,"",950866.20,"","",2020-11-04
4194,4194,1498193.60,"",1498193.60,"",1498193.60,"","",2020-11-02
4257,4257,1500360.80,"",1500360.80,"",1500360.80,"",1500360.80,2020-11-01
4283,4283,965132.56,"",965132.56,"",962704.26,"",965132.56,2020-11-03
4455,4455,"",1223252.09,"",1223252.09,"",713340.98,"",2020-11-04
4475,4475,"",1622901.05,"","","",437060.95,"",2020-11-04
4986,4986,1525438.40,"",1525438.40,"",1525438.40,"","",2020-11-02
5099,5099,"",1639422.70,"","","",442067.30,"",2020-11-04
5192,5192,"",861382.36,"","","",484492.92,"",2020-11-02
545,545,870288.29,"",870288.29,"",870288.29,"",870288.29,2020-11-01
5496,5496,"",1371051.20,"",1371051.20,"",810290.91,"",2020-11-02
5501,5501,996036.87,"",996036.87,"",987486.77,"",996036.87,2020-11-01
5509,5509,"",1887464.00,"","","",1051173.46,"",2020-11-02
5588,5588,"",871430.07,"",871430.07,"",490847.14,"",2020-11-02
5832,5832,"",1382609.60,"",1382609.60,"",815682.36,"",2020-11-02
5843,5843,"",1659121.59,"","","",448036.41,"",2020-11-04
5872,5872,1395092.94,"",1395092.94,"",1388505.74,"","",2020-11-04
5880,5880,"",1259408.61,"","","",736206.53,"",2020-11-01
5979,5979,"",1387666.40,"","","",818041.13,"",2020-11-01
6094,6094,"",1268638.79,"","","",329713.21,"",2020-11-04
6124,6124,"",1908620.00,"","","",1061041.75,"",2020-11-01
6137,6137,"",1666905.83,"",1666905.83,"",450395.17,"",2020-11-02
6158,6158,"",1667461.84,"","","",450563.66,"",2020-11-03
6163,6163,"",1270465.71,"","","",330266.80,"",2020-11-01
6277,6277,"",1273484.08,"","","",331181.42,"",2020-11-03
6408,6408,"",1402424.00,"",1402424.00,"",824924.86,"",2020-11-02
6443,6443,"",893123.99,"","","",504566.47,"",2020-11-01
6468,6468,"",1274327.94,"",1274327.94,"",745641.57,"",2020-11-01
6843,6843,"",1283842.81,"","","",751658.82,"",2020-11-04
6896,6896,1031432.21,"",1031432.21,"",1022742.61,"","",2020-11-04
7005,7005,"",1287953.24,"","","",754258.28,"",2020-11-02
7010,7010,1034324.73,"",1034324.73,"",1031623.73,"","",2020-11-02
7147,7147,"",1296519.07,"","","",338161.43,"",2020-11-01
7158,7158,1600155.20,"",1600155.20,"",1600155.20,"","",2020-11-02
7182,7182,"",1292444.26,"","","",757098.42,"",2020-11-03
7278,7278,"",1432352.00,"",1432352.00,"",838884.88,"",2020-11-04
7279,7279,"",1948352.00,"","","",1079574.88,"",2020-11-04
7412,7412,"",917710.42,"",917710.42,"",520115.04,"",2020-11-02
7476,7476,1611094.40,"","","",1606346.80,"","",2020-11-04
7494,7494,"",1439782.40,"",1439782.40,"",842350.82,"",2020-11-04
7670,7670,"",924256.66,"","","",524254.91,"",2020-11-04
7680,7680,1618112.00,"",1618112.00,"",1618112.00,"","",2020-11-04
7735,7735,"",1312087.55,"","","",342878.95,"",2020-11-01
7747,7747,"",1964451.20,"",1964451.20,"",1087084.41,"",2020-11-04
7804,7804,"",1313914.46,"","","",343432.54,"",2020-11-02
7813,7813,1446484.80,"",1446484.80,"",1445703.50,"",1446484.80,2020-11-01
795,795,"",1130386.91,"",1130386.91,"",654612.62,"",2020-11-04
8033,8033,"",933467.06,"","","",530079.61,"",2020-11-03
8087,8087,"",934837.20,"","","",530946.09,"",2020-11-01
8090,8090,"",1718615.41,"",1718615.41,"",466064.09,"",2020-11-03
8109,8109,"",1460938.40,"","","",852219.11,"",2020-11-03
8115,8115,1633076.00,"",1633076.00,"",1628264.50,"",1633076.00,2020-11-03
8169,8169,"",1317487.41,"",1317487.41,"",772935.82,"",2020-11-02
8237,8237,1065457.40,"",1065457.40,"",1056633.70,"",1065457.40,2020-11-01
8385,8385,1642364.00,"",1642364.00,"",1637525.50,"",1642364.00,2020-11-01
8497,8497,"",1332263.02,"","","",348992.48,"",2020-11-03
8534,8534,"",1730371.20,"","","",469626.31,"",2020-11-03
8549,8549,"",946559.52,"","","",538359.35,"",2020-11-03
8551,8551,"",1992108.80,"",1992108.80,"",1099985.39,"",2020-11-04
8595,8595,"",1477656.80,"",1477656.80,"",860017.46,"",2020-11-01
8651,8651,"",1733469.00,"",1733469.00,"",470565.00,"",2020-11-04
8699,8699,1077179.73,"",1077179.73,"",1077179.73,"",1077179.73,2020-11-03
8714,8714,"",1735137.06,"","","",471070.45,"",2020-11-03
8762,8762,1078778.23,"",1078778.23,"",1078778.23,"","",2020-11-02
8914,8914,"",1343303.93,"","","",352338.07,"",2020-11-04
9056,9056,1086237.89,"",1086237.89,"",1077332.29,"","",2020-11-04
923,923,879879.28,"","","",879879.28,"",879879.28,2020-11-03
9269,9269,"",964828.08,"",964828.08,"",549912.47,"",2020-11-03
9301,9301,"",2017908.80,"","","",1112019.89,"",2020-11-02
9383,9383,"",1752850.17,"","","",476437.83,"",2020-11-04
9431,9431,"",1754121.06,"",1754121.06,"",476822.94,"",2020-11-04
9516,9516,1681270.40,"",1681270.40,"",1681270.40,"","",2020-11-04
96,96,1357222.40,"","","",1353212.80,"","",2020-11-04
9601,9601,"",1361493.63,"","","",357849.87,"",2020-11-03
9615,9615,"",1512744.80,"","","",876384.38,"",2020-11-01
9627,9627,"",1513157.60,"","","",876576.93,"",2020-11-01
9655,9655,"",1362923.39,"",1362923.39,"",358283.11,"",2020-11-01
9855,9855,1692932.00,"",1692932.00,"",1692932.00,"",1692932.00,2020-11-03
9942,9942,1695924.80,"",1695924.80,"",1690930.60,"","",2020-11-02
9949,9949,"",2040200.00,"","","",1122417.70,"",2020-11-02
9956,9956,"",982259.33,"","","",560936.07,"",2020-11-02
9961,9961,"",1371025.35,"","","",360738.15,"",2020-11-03
10000,10000,"",1372057.95,"","","",361051.05,"",2020-11-02
10047,47,1699536.80,"","","",1699536.80,"","",2020-11-03
10048,48,"",1373328.85,"",1373328.85,"",361436.15,"",2020-11-02
10157,157,"",987359.31,"","","",564161.31,"",2020-11-03
10224,224,1705625.60,"","","",1705625.60,"",1705625.60,2020-11-04
10249,249,"",1378650.73,"",1378650.73,"",363048.77,"",2020-11-03
10300,300,"",1380001.05,"",1380001.05,"",363457.95,"",2020-11-02
10468,468,"",1384449.19,"",1384449.19,"",364805.81,"",2020-11-02
10528,528,"",1386037.81,"","","",365287.19,"",2020-11-02
10712,712,"",1001441.32,"","","",573066.84,"",2020-11-02
10724,724,"",1001745.80,"","","",573259.40,"",2020-11-02
10800,800,1725440.00,"","","",1725440.00,"",1725440.00,2020-11-04
10847,847,"",1004866.68,"","","",575233.05,"",2020-11-01
10877,877,1132442.12,"",1132442.12,"",1132442.12,"","",2020-11-01
11027,1027,1136248.07,"",1136248.07,"",1127145.37,"","",2020-11-03
11057,1057,1137009.26,"",1137009.26,"",1137009.26,"","",2020-11-01
11069,1069,"",1010499.48,"",1010499.48,"",578795.27,"",2020-11-03
11073,1073,1734831.20,"",1734831.20,"",1734831.20,"","",2020-11-01
11143,1143,1534653.21,"",1534653.21,"",1533538.91,"","",2020-11-03
11193,1193,1738959.20,"","","",1733839.90,"","",2020-11-01
11254,1254,"",1405260.11,"",1405260.11,"",371111.89,"",2020-11-04
1143,1143,1393239.20,"",1393239.20,"",1393239.20,"",1393239.20,2020-11-03
11513,1513,"",1021765.10,"",1021765.10,"",585919.69,"",2020-11-03
11607,1607,1753200.80,"","","",1748040.10,"","",2020-11-03
11965,1965,1556417.31,"",1556417.31,"",1549220.81,"","",2020-11-01
11980,1980,"",1424482.41,"","","",376936.59,"",2020-11-02
11997,1997,1766616.80,"",1766616.80,"",1766616.80,"","",2020-11-01
12230,2230,"",1039957.54,"","","",597424.67,"",2020-11-04
12253,2253,1564042.68,"",1564042.68,"",1556817.38,"","",2020-11-01
12310,2310,"",1433219.82,"","","",379584.18,"",2020-11-04
12412,2412,1568252.52,"",1568252.52,"",1567011.32,"",1568252.52,2020-11-04
12625,2625,"",1441560.08,"","","",382111.42,"",2020-11-03
12638,2638,1177123.97,"","","",1167860.17,"",1177123.97,2020-11-02
12661,2661,"",1442513.25,"",1442513.25,"",382400.25,"",2020-11-03
127,127,"",1702323.20,"","","",964813.89,"",2020-11-04
12836,2836,1182147.83,"",1182147.83,"",1172864.23,"",1182147.83,2020-11-04
12881,2881,"",1056475.36,"","","",607870.62,"",2020-11-03
12961,2961,"",1450456.35,"",1450456.35,"",384807.15,"",2020-11-03
12970,2970,1583026.69,"",1583026.69,"",1581729.69,"",1583026.69,2020-11-02
13100,3100,"",1062032.05,"","","",611384.69,"",2020-11-02
13196,3196,1191282.11,"","","",1181962.51,"",1191282.11,2020-11-04
13338,3338,"",1640816.00,"","","",936123.64,"",2020-11-04
13687,3687,"",1469678.65,"","","",390631.85,"",2020-11-01
13701,3701,1825234.40,"",1825234.40,"",1825234.40,"","",2020-11-01
13730,3730,"",1078017.04,"",1078017.04,"",621493.67,"",2020-11-04
13910,3910,1209398.43,"",1209398.43,"",1209398.43,"",1209398.43,2020-11-02
14022,4022,"",1664345.60,"",1664345.60,"",947099.10,"",2020-11-04
14141,4141,1215259.59,"","","",1205845.49,"","",2020-11-01
14590,4590,"",1493587.38,"","","",397876.62,"",2020-11-04
14860,4860,"",1500736.17,"",1500736.17,"",400042.83,"",2020-11-02
1490,1490,"",1543867.21,"","","",413112.29,"",2020-11-03
14979,4979,1869197.60,"","","",1869197.60,"","",2020-11-03
1498,1498,"",1749485.60,"","","",986812.95,"",2020-11-03
15288,5288,1879827.20,"","","",1874298.40,"",1879827.20,2020-11-04
15465,5465,1885916.00,"",1885916.00,"",1885916.00,"","",2020-11-01
1557,1557,1407480.80,"",1407480.80,"",1407480.80,"",1407480.80,2020-11-01
1649,1649,898300.08,"",898300.08,"",890135.18,"",898300.08,2020-11-01
16734,6734,1929569.60,"","","",1929569.60,"",1929569.60,2020-11-02
16784,6784,1282320.43,"",1282320.43,"",1278642.03,"",1282320.43,2020-11-04
16786,6786,1684062.92,"",1684062.92,"",1682384.32,"",1684062.92,2020-11-02
17157,7157,1944120.80,"",1944120.80,"",1944120.80,"","",2020-11-01
1746,1746,"",1154516.63,"","","",669872.36,"",2020-11-03
1754,1754,900964.24,"","","",898788.84,"","",2020-11-02
17583,7583,1958775.20,"","","",1953016.90,"","",2020-11-03
17770,7770,1710116.29,"","","",1702339.29,"",1710116.29,2020-11-02
1781,1781,"",1551572.01,"",1551572.01,"",415446.99,"",2020-11-02
1790,1790,"",1551810.31,"","","",415519.19,"",2020-11-03
17981,7981,1312691.91,"",1312691.91,"",1308893.81,"","",2020-11-01
18302,8302,1320836.65,"",1320836.65,"",1320836.65,"",1320836.65,2020-11-02
19080,9080,2010272.00,"",2010272.00,"",2010272.00,"",2010272.00,2020-11-04
19154,9154,1342454.44,"",1342454.44,"",1332539.04,"",1342454.44,2020-11-02
19421,9421,1349229.03,"",1349229.03,"",1345286.93,"","",2020-11-01
1965,1965,1421516.00,"",1421516.00,"",1421516.00,"",1421516.00,2020-11-01
19698,9698,2031531.20,"","","",2025561.40,"",2031531.20,2020-11-02
19929,9929,2039477.60,"",2039477.60,"",2039477.60,"","",2020-11-01
2022,2022,"",1161519.58,"",1161519.58,"",674301.06,"",2020-11-03
2030,2030,907967.19,"",907967.19,"",907967.19,"","",2020-11-02
2068,2068,"",1769093.60,"","","",995959.17,"",2020-11-01
2092,2092,1295009.88,"",1295009.88,"",1288800.68,"","",2020-11-04
2290,2290,1300252.33,"","","",1294023.33,"","",2020-11-02
2296,2296,"",1776936.80,"",1776936.80,"",999617.66,"",2020-11-01
2382,2382,1435860.80,"",1435860.80,"",1431622.60,"","",2020-11-02
2499,2499,1439885.60,"",1439885.60,"",1435635.70,"",1439885.60,2020-11-03
2590,2590,1308195.43,"",1308195.43,"",1308195.43,"","",2020-11-02
2629,2629,1309228.03,"","","",1308965.13,"",1309228.03,2020-11-01
2680,2680,"",1790146.40,"",1790146.40,"",1005779.33,"",2020-11-01
3243,3243,"",1192500.01,"","","",693893.22,"",2020-11-04
3508,3508,1332501.32,"","","",1332501.32,"","",2020-11-04
3593,3593,"",1599548.34,"","","",429984.66,"",2020-11-02
3599,3599,947777.43,"","","",945417.53,"",947777.43,2020-11-03
3696,3696,"",1203993.98,"",1203993.98,"",701162.06,"",2020-11-01
3777,3777,1483848.80,"","","",1479471.10,"",1483848.80,2020-11-01
3829,3829,1341000.43,"","","",1334617.53,"",1341000.43,2020-11-01
3868,3868,"",1831013.60,"","","",1024841.97,"",2020-11-01
3932,3932,"",1608524.04,"",1608524.04,"",432704.46,"",2020-11-01
3995,3995,957825.14,"",957825.14,"",955425.64,"",957825.14,2020-11-03
4027,4027,1346242.88,"",1346242.88,"",1339840.18,"",1346242.88,2020-11-03
4223,4223,963610.18,"",963610.18,"",955187.88,"",963610.18,2020-11-03
4313,4313,965893.75,"",965893.75,"",957462.45,"",965893.75,2020-11-01
4343,4343,966654.94,"",966654.94,"",966654.94,"",966654.94,2020-11-03
4452,4452,"",1223175.97,"","","",713292.84,"",2020-11-01
4503,4503,"",1224469.99,"","","",714111.18,"",2020-11-04
4633,4633,1362287.94,"",1362287.94,"",1362287.94,"",1362287.94,2020-11-01
4992,4992,1525644.80,"",1525644.80,"",1521145.60,"","",2020-11-04
5065,5065,"",1241393.96,"",1241393.96,"",321457.54,"",2020-11-03
5093,5093,985684.69,"",985684.69,"",983175.39,"",985684.69,2020-11-01
5170,5170,1376506.09,"",1376506.09,"",1369989.09,"","",2020-11-02
5199,5199,"",1242129.60,"",1242129.60,"",725279.20,"",2020-11-04
5218,5218,1377776.99,"","","",1377776.99,"","",2020-11-02
5236,5236,1378253.57,"","","",1378253.57,"","",2020-11-04
5261,5261,"",863133.10,"",863133.10,"",485600.10,"",2020-11-03
5288,5288,"",1644426.85,"","","",443583.65,"",2020-11-01
5304,5304,"",1364446.40,"","","",807210.08,"",2020-11-02
5315,5315,"",864503.24,"",864503.24,"",486466.58,"",2020-11-01
552,552,1372908.80,"",1372908.80,"",1372908.80,"","",2020-11-04
5548,5548,1386514.40,"",1386514.40,"",1379959.60,"","",2020-11-04
5568,5568,"",1373528.00,"","","",811446.22,"",2020-11-02
5599,5599,1387864.72,"",1387864.72,"",1387304.82,"",1387864.72,2020-11-03
5654,5654,"",1654117.44,"","","",446520.07,"",2020-11-03
5659,5659,"",1257121.30,"","","",326223.20,"",2020-11-01
5773,5773,"",1896545.60,"","","",1055409.60,"",2020-11-02
5776,5776,"",1896648.80,"","","",1055457.74,"",2020-11-01
5797,5797,"",1260775.12,"","","",327330.38,"",2020-11-03
5939,5939,"",1661663.38,"",1661663.38,"",448806.62,"",2020-11-04
596,596,"",1520196.77,"","","",405939.73,"",2020-11-01
5982,5982,"",1261996.66,"","","",737843.22,"",2020-11-03
6066,6066,1562590.40,"",1562590.40,"",1562590.40,"","",2020-11-02
6081,6081,"",1391175.20,"","","",819677.82,"",2020-11-03
6355,6355,1407881.34,"",1407881.34,"",1407245.84,"",1407881.34,2020-11-03
6452,6452,1020166.60,"","","",1017521.40,"","",2020-11-04
6552,6552,"",1276459.27,"",1276459.27,"",746989.44,"",2020-11-01
6646,6646,"",1283254.10,"","","",334141.90,"",2020-11-04
6759,6759,"",1414498.40,"","","",830557.01,"",2020-11-01
6789,6789,1587461.60,"","","",1587461.60,"",1587461.60,2020-11-01
6902,6902,1031584.45,"",1031584.45,"",1028894.25,"","",2020-11-02
7045,7045,1426150.47,"","","",1426150.47,"",1426150.47,2020-11-01
7062,7062,"",1424921.60,"",1424921.60,"",835418.94,"",2020-11-04
7064,7064,"",908880.62,"","","",514531.04,"",2020-11-02
7105,7105,1427739.09,"",1427739.09,"",1421028.59,"",1427739.09,2020-11-01
7117,7117,"",1295724.76,"","","",337920.74,"",2020-11-03
7219,7219,"",1946288.00,"",1946288.00,"",1078612.12,"",2020-11-04
7223,7223,"",1695659.85,"",1695659.85,"",459108.15,"",2020-11-04
7225,7225,"",1298584.28,"",1298584.28,"",338787.22,"",2020-11-03
7246,7246,"",1947216.80,"","","",1079045.36,"",2020-11-03
7281,7281,"",1294956.19,"",1294956.19,"",758686.97,"",2020-11-02
7350,7350,"",1296706.92,"","","",759794.15,"",2020-11-03
7431,7431,"",1298762.14,"","","",761093.87,"",2020-11-04
7482,7482,1611300.80,"","","",1611300.80,"","",2020-11-02
7490,7490,"",919689.52,"",919689.52,"",521366.63,"",2020-11-04
7751,7751,"",926311.87,"","","",525554.64,"",2020-11-01
7846,7846,"",1967856.80,"","","",1088672.96,"",2020-11-03
7915,7915,"",1316853.41,"","","",344323.09,"",2020-11-01
7959,7959,"",1312159.08,"",1312159.08,"",769566.16,"",2020-11-04
8012,8012,"",932934.22,"",932934.22,"",529742.64,"",2020-11-02
8025,8025,"",1458048.80,"","","",850871.24,"",2020-11-03
8108,8108,"",935370.03,"",935370.03,"",531283.06,"",2020-11-02
8118,8118,1633179.20,"",1633179.20,"",1633179.20,"","",2020-11-02
815,815,877139.00,"",877139.00,"",877139.00,"",877139.00,2020-11-03
8156,8156,1063402.19,"",1063402.19,"",1054586.59,"","",2020-11-04
8213,8213,"",938034.20,"","","",532967.89,"",2020-11-03
8245,8245,1457922.87,"","","",1457098.37,"",1457922.87,2020-11-01
8363,8363,1068654.40,"",1068654.40,"",1059818.10,"",1068654.40,2020-11-03
8394,8394,"",1323196.34,"","","",776546.17,"",2020-11-03
8433,8433,"",1324185.88,"","","",777171.96,"",2020-11-02
8503,8503,"",1990457.60,"",1990457.60,"",1099215.18,"",2020-11-04
8619,8619,1650413.60,"",1650413.60,"",1645551.70,"",1650413.60,2020-11-03
8639,8639,"",1733151.28,"",1733151.28,"",470468.72,"",2020-11-04
8673,8673,"",1330275.40,"","","",781023.00,"",2020-11-02
8809,8809,"",1340523.85,"","","",351495.65,"",2020-11-03
8825,8825,"",953562.47,"",953562.47,"",542788.04,"",2020-11-03
8910,8910,1660424.00,"","","",1660424.00,"","",2020-11-02
9090,9090,1666616.00,"",1666616.00,"",1666616.00,"","",2020-11-02
9110,9110,1087608.03,"","","",1078697.03,"","",2020-11-02
9269,9269,1091642.34,"","","",1088715.44,"",1091642.34,2020-11-01
9285,9285,"",1345803.68,"","","",790843.16,"",2020-11-02
9332,9332,"",1751499.84,"","","",476028.66,"",2020-11-01
9484,9484,1490727.87,"",1490727.87,"",1490727.87,"","",2020-11-04
9528,9528,1681683.20,"","","",1676730.40,"","",2020-11-04
9564,9564,"",1510990.40,"",1510990.40,"",875566.04,"",2020-11-02
9574,9574,"",1360778.75,"","","",357633.25,"",2020-11-04
9622,9622,1494381.69,"",1494381.69,"",1493419.49,"","",2020-11-02
9878,9878,"",980280.24,"","","",559684.48,"",2020-11-04
9933,9933,1695615.20,"","","",1690621.90,"",1695615.20,2020-11-01
10111,111,"",1374996.90,"","","",361941.60,"",2020-11-01
10125,125,"",1530288.80,"",1530288.80,"",884567.84,"",2020-11-03
10130,130,"",986674.24,"","","",563728.07,"",2020-11-04
10271,271,"",990251.83,"",990251.83,"",565990.56,"",2020-11-01
10282,282,"",1379524.47,"",1379524.47,"",363313.53,"",2020-11-04
10341,341,"",1537719.20,"","","",888033.78,"",2020-11-03
10373,373,"",992839.88,"","","",567627.25,"",2020-11-03
10473,473,"",1542260.00,"",1542260.00,"",890151.85,"",2020-11-03
10631,631,1126200.36,"",1126200.36,"",1117137.26,"","",2020-11-03
11050,1050,"",1399858.80,"",1399858.80,"",369475.20,"",2020-11-04
1110,1110,1392104.00,"",1392104.00,"",1392104.00,"","",2020-11-02
11244,1244,"",1568782.40,"","","",902523.32,"",2020-11-02
1132,1132,"",1736895.20,"","","",980940.12,"",2020-11-01
11363,1363,"",1017959.15,"","","",583512.79,"",2020-11-01
11458,1458,1542993.47,"","","",1541847.67,"",1542993.47,2020-11-02
11533,1533,1544979.24,"","","",1537825.94,"","",2020-11-01
11590,1590,1546488.43,"","","",1546488.43,"",1546488.43,2020-11-02
11729,1729,1154059.92,"","","",1144887.02,"","",2020-11-01
11802,1802,1759908.80,"","","",1759908.80,"",1759908.80,2020-11-02
11848,1848,1553319.50,"",1553319.50,"",1546134.70,"",1553319.50,2020-11-04
119,119,859479.39,"",859479.39,"",851467.49,"",859479.39,2020-11-03
11920,1920,1555225.84,"",1555225.84,"",1548033.84,"",1555225.84,2020-11-04
11998,1998,"",1424959.00,"",1424959.00,"",377081.00,"",2020-11-04
120,120,1358048.00,"",1358048.00,"",1358048.00,"","",2020-11-04
1206,1206,"",1140815.21,"",1140815.21,"",661207.52,"",2020-11-03
12103,2103,1560071.13,"","","",1560071.13,"","",2020-11-03
12118,2118,"",1428136.24,"","","",378043.76,"",2020-11-04
12189,2189,"",1601290.40,"","","",917686.79,"",2020-11-03
12191,2191,"",1038967.99,"","","",596798.88,"",2020-11-01
1223,1223,887491.18,"","","",885368.88,"",887491.18,2020-11-03
12246,2246,"",1603251.20,"","","",918601.41,"",2020-11-04
12290,2290,"",1041479.92,"","","",598387.43,"",2020-11-04
